epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9963,0.58043,3.06771,1.2454,0.03429,1,0.99229,0.97513,0.29587,3.13127,0.6836,0.00022301,0.00022301,0.00022301
2,104.486,0.27295,1.42337,0.99921,0.98321,0.97589,0.9934,0.97429,0.53511,1.68587,0.93992,0.000438738,0.000438738,0.000438738
3,154.674,0.28521,1.02061,0.98878,0.89608,1,0.95464,0.81036,0.63883,1.87577,1.09343,0.000639239,0.000639239,0.000639239
4,204.664,0.29512,0.99802,1.01481,0.69093,0.96667,0.94564,0.84662,0.44738,3.28469,0.88698,0.000692869,0.000692869,0.000692869
5,255.784,0.25184,0.87727,0.9859,0.95604,0.98333,0.99342,0.93739,0.41641,1.38995,0.87662,0.000667492,0.000667492,0.000667492
6,307.277,0.23275,0.81708,0.96051,0.86824,0.91667,0.96717,0.88949,0.32963,1.43866,0.72981,0.000642115,0.000642115,0.000642115
7,357.992,0.23235,0.78967,0.96961,0.99649,1,0.995,0.96151,0.31118,1.1047,0.68485,0.000616738,0.000616738,0.000616738
8,407.408,0.23037,0.7568,0.97712,0.87325,0.91667,0.92088,0.82883,0.35211,1.50338,0.73646,0.000591361,0.000591361,0.000591361
9,462.743,0.18127,0.67477,0.94636,0.89468,0.98333,0.97802,0.97693,0.26621,1.2387,0.69529,0.000565984,0.000565984,0.000565984
10,515.624,0.19146,0.64706,0.94158,0.93414,0.98333,0.99066,0.89742,0.35988,1.50164,0.78136,0.000540607,0.000540607,0.000540607
11,571.497,0.18997,0.62794,0.93426,0.9747,0.9,0.98751,0.9603,0.26991,1.16045,0.67044,0.00051523,0.00051523,0.00051523
12,625.074,0.17485,0.61476,0.92815,0.99082,0.96667,0.99226,0.96919,0.28177,1.01489,0.68601,0.000489853,0.000489853,0.000489853
13,676.972,0.14569,0.58248,0.91479,0.9522,0.99603,0.97628,0.90153,0.37787,1.08474,0.76069,0.000464476,0.000464476,0.000464476
14,728.1,0.16546,0.57723,0.92445,0.95224,0.99699,0.98285,0.97252,0.21334,1.02439,0.60434,0.000439099,0.000439099,0.000439099
15,779.292,0.14904,0.54826,0.92515,0.982,1,0.99418,0.98958,0.19713,0.87039,0.6036,0.000413722,0.000413722,0.000413722
16,836.002,0.15697,0.5421,0.9281,0.99444,0.96667,0.99419,0.98528,0.25017,0.90467,0.67445,0.000388345,0.000388345,0.000388345
17,891.954,0.13556,0.52672,0.90925,0.99648,0.98333,0.99437,0.98839,0.22402,0.89902,0.61565,0.000362968,0.000362968,0.000362968
18,943.61,0.14241,0.502,0.90768,0.99802,0.98333,0.99484,0.99484,0.18008,0.78097,0.57137,0.000337591,0.000337591,0.000337591
19,995.532,0.1443,0.53866,0.933,0.99902,1,0.995,0.995,0.18681,0.82578,0.57784,0.000312214,0.000312214,0.000312214
20,1047.41,0.12721,0.47601,0.90742,0.99889,1,0.995,0.99188,0.20449,0.76782,0.59431,0.000286837,0.000286837,0.000286837
21,1098.25,0.20425,1.43895,0.98392,0.99653,1,0.995,0.995,0.18318,0.82244,0.56072,0.00026146,0.00026146,0.00026146
22,1151.33,0.14128,0.82909,0.95725,0.99889,1,0.995,0.995,0.19545,0.74322,0.57554,0.000236083,0.000236083,0.000236083
23,1204.01,0.12956,0.81823,0.91439,0.99911,1,0.995,0.995,0.18845,0.73155,0.57091,0.000210706,0.000210706,0.000210706
24,1255.41,0.12793,0.73148,0.90788,0.99876,1,0.995,0.995,0.19738,0.73139,0.57385,0.000185329,0.000185329,0.000185329
25,1306.43,0.10755,0.69657,0.90196,0.99895,1,0.995,0.995,0.17873,0.71932,0.56598,0.000159952,0.000159952,0.000159952
26,1357.11,0.09472,0.66351,0.89493,0.99908,1,0.995,0.995,0.15856,0.7022,0.55036,0.000134575,0.000134575,0.000134575
27,1408.72,0.0953,0.65117,0.8868,0.99909,1,0.995,0.995,0.15644,0.69361,0.54401,0.000109198,0.000109198,0.000109198
28,1460.97,0.08291,0.62288,0.86941,0.99912,1,0.995,0.995,0.14958,0.69151,0.54097,8.3821e-05,8.3821e-05,8.3821e-05
29,1512.66,0.09071,0.619,0.86802,0.99913,1,0.995,0.995,0.15149,0.69187,0.5457,5.8444e-05,5.8444e-05,5.8444e-05
30,1569.36,0.07287,0.59393,0.87822,0.99914,1,0.995,0.995,0.14513,0.67371,0.53893,3.3067e-05,3.3067e-05,3.3067e-05
1,76.0443,0.51889,2.8315,1.19919,0.94385,0.2051,0.78163,0.63947,0.45766,3.3683,0.92909,0.000249925,0.000249925,0.000249925
2,151.473,0.26982,1.14239,0.987,0.89397,0.96341,0.90954,0.74577,0.87902,1.93491,1.30334,0.000489552,0.000489552,0.000489552
3,218.034,0.25286,0.95689,0.98474,0.95259,0.98012,0.98599,0.90942,0.41647,1.29877,0.89983,0.000712261,0.000712261,0.000712261
4,286.009,0.26715,0.89164,0.985,0.93099,0.98717,0.96175,0.87827,0.47641,1.35953,0.97416,0.000692869,0.000692869,0.000692869
5,362.28,0.22354,0.79136,0.95401,0.96247,0.95122,0.99107,0.96736,0.29519,1.19732,0.75231,0.000667492,0.000667492,0.000667492
6,434.582,0.20976,0.70669,0.95343,0.92375,0.96341,0.96261,0.86928,0.33123,1.22026,0.79009,0.000642115,0.000642115,0.000642115
7,514.447,0.19707,0.69466,0.948,0.9608,0.9878,0.98349,0.9528,0.30626,1.08901,0.75383,0.000616738,0.000616738,0.000616738
8,587.382,0.18678,0.6382,0.9257,0.93603,0.96341,0.98094,0.87336,0.40998,1.37546,0.85195,0.000591361,0.000591361,0.000591361
9,660.864,0.18575,0.6264,0.94266,0.97239,1,0.99208,0.97277,0.24882,0.99239,0.75443,0.000565984,0.000565984,0.000565984
10,734.177,0.18047,0.59724,0.94185,0.95334,0.99666,0.97398,0.94849,0.3035,0.97278,0.73698,0.000540607,0.000540607,0.000540607
11,806.572,0.17773,0.57925,0.92927,0.97617,0.99911,0.99403,0.95973,0.26959,0.92021,0.69079,0.00051523,0.00051523,0.00051523
12,879.404,0.15824,0.54209,0.90739,0.92768,0.97561,0.96626,0.90638,0.34593,0.93666,0.80033,0.000489853,0.000489853,0.000489853
13,951.009,0.16696,0.53096,0.93244,0.98779,0.98692,0.99133,0.9837,0.28356,0.93336,0.68983,0.000464476,0.000464476,0.000464476
14,1023.61,0.14116,0.47909,0.90925,0.94582,0.97561,0.97242,0.91933,0.29093,0.98143,0.72264,0.000439099,0.000439099,0.000439099
15,1093.47,0.14231,0.45426,0.92401,0.97547,0.97001,0.99126,0.95082,0.37096,0.81473,0.78927,0.000413722,0.000413722,0.000413722
16,1161.94,0.13744,0.46205,0.90788,0.98173,0.97561,0.99351,0.96429,0.24703,0.86448,0.69235,0.000388345,0.000388345,0.000388345
